mã sự kiện,tiêu đề sự kiện,tiêu đề sự kiện (tiếng Anh),ngày công bố,ngày thực hiện,liên kết nguồn,mã loại sự kiện,tỷ lệ,giá trị,ngày chốt quyền,ngày không hưởng quyền,tên loại sự kiện,tên loại sự kiện (tiếng Anh),mã chứng khoán
39529818,CII - Trả cổ tức Đợt 3 năm 2022 bằng tiền 400 đồng/cổ phiếu,CII - Pay cash dividend 2022 - Interim 3 at VND 400/share,2024-06-12,2024-07-03T00:00:00,http://fiinpro.com/News/Detail/11214153?lang=vi-vn,DIV,0.04,400,2024-06-19T00:00:00,2024-06-18,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
49754110,CII - Trả cổ tức Đợt 1 năm 2023 bằng tiền 200 đồng/cổ phiếu,CII - Pay cash dividend 2023 - Interim 1 at VND 200/share,2024-12-20,2025-01-15T00:00:00,http://fiinpro.com/News/Detail/11411494?lang=vi-vn,DIV,0.02,200,2024-12-27T00:00:00,2024-12-26,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
48804060,CII - Trả cổ tức Đợt 1 năm 2023 bằng tiền 200 đồng/cổ phiếu,CII - Pay cash dividend 2023 - Interim 1 at VND 200/share,2024-12-20,2025-01-20T00:00:00,http://fiinpro.com/News/Detail/11411494?lang=vi-vn,DIV,0.02,200,2024-12-27T00:00:00,2024-12-26,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
57931070,CII - Niêm yết bổ sung 217.700 cổ phiếu,"CII- Lists additional 217,700 shares",2025-06-18,2025-06-19T00:00:00,http://fiinpro.com/News/Detail/11602216?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CII
58933223,CII - Phát hành cổ phiếu thưởng tỷ lệ 14%,CII - Issues bonus shares at 14%,2025-07-04,2025-08-05T00:00:00,http://fiinpro.com/News/Detail/11622262?lang=vi-vn,ISS,0.14,0,2025-08-06T00:00:00,2025-08-05,Phát hành cổ phiếu,Share Issue,CII
51748931,CII - Niêm yết bổ sung 228.224.170 cổ phiếu,"CII- Lists additional 228,224,170 shares",2025-02-14,2025-02-18T00:00:00,http://fiinpro.com/News/Detail/11463369?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CII
30931857,"CII - Niêm yết bổ sung 34,345,300 cổ phiếu","CII- Lists additional 34,345,300 shares",2023-11-29,2023-11-29T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/8cb9e734-762a-494d-ae06-25e1e4ecb66b?ridx=1741421264,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CII
30306366,CMG - Phát hành cổ phiếu trả cổ tức tỷ lệ 6%,CMG - Issues dividend shares at 6%,2023-11-15,2023-12-05T00:00:00,http://fiinpro.com/News/Detail/10987195?lang=vi-vn,ISS,0.06,0,2023-12-06T00:00:00,2023-12-05,Phát hành cổ phiếu,Share Issue,CMG
49056687,CMG - Phát hành cổ phiếu trả cổ tức tỷ lệ 11%,CMG - Issues dividend shares at 11%,2024-12-25,2024-12-30T00:00:00,http://fiinpro.com/News/Detail/11416545?lang=vi-vn,ISS,0.11,0,2024-12-31T00:00:00,2024-12-30,Phát hành cổ phiếu,Share Issue,CMG
41244169,"CMG - Niêm yết bổ sung 412,300 cổ phiếu","CMG- Lists additional 412,300 shares",2024-07-19,2024-07-15T00:00:00,http://fiinpro.com/News/Detail/11262343?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CMG
